taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005VC,131,50.391537,20.234558,6.0737925,43.56176,-89.6557,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005VE,132,41.190292,-8.329875,-14.11992,40.9771,-94.1764724,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VH,133,-20.626465,-30.63069,-6.503882,35.48981,-95.6183,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VJ,134,-25.028008,-33.237537,-6.25921,36.24761,-95.3364,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VK,135,36.111763,-19.013647,-8.340435,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VL,136,43.21054,-11.565012,-14.219474,41.02281,-92.878611,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VM,137,-55.486637,11.0014515,-8.6245575,42.14294,-96.3855,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005VQ,138,-12.889298,-31.665695,6.948879,35.25375,-95.1894,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VR,139,-24.086103,-38.51616,-10.30076,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005W0,140,-58.215508,12.648292,-12.867755,41.405,-97.7092,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W1,141,-29.377237,-3.206537,5.538863,39.1061,-96.5993,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W2,142,-14.708492,-35.472797,4.9843435,30.39889,-96.0903,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005W4,143,22.647194,-32.84016,25.699766,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005W5,144,24.63444,-32.104816,25.682749,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WJ,145,-23.724552,-36.8511,-8.522527,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S0060N,146,-44.072548,7.317654,2.0903316,NA,NA,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060R,147,-62.372868,12.228053,-1.9090827,NA,NA,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060V,148,-37.291794,-3.2416372,8.765268,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,N_A
S0060X,149,-54.433025,8.657301,-8.353864,39.1061,-96.5993,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060Y,150,36.45777,-14.085056,-14.597331,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S00611,151,-66.26778,9.475308,20.334587,NA,NA,Bad_Astra,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00612,152,10.161334,-58.97033,96.75722,42.13075,-98.0382,NE,west,west,s_perfoliatum,west,west,s_perfoliatum,wild_collection
S00613,153,-29.18756,-28.421759,69.70059,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00616,154,-29.390705,-24.281277,62.64118,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00618,155,-62.752323,7.134443,13.038392,NA,NA,F1,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061C,156,-29.841644,-26.338987,65.8622,NA,NA,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061E,157,-2.811505,30.128668,17.843435,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061F,158,-63.38,12.302576,-3.0044832,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061J,159,46.7476,34.542404,26.226997,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061K,160,-36.653088,3.5129693,3.7823567,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061M,161,-38.065014,-1.5880531,8.7184925,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061N,162,-58.017986,9.638311,-1.355765,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061R,163,51.603344,45.590267,22.145006,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061T,164,1.7285625,13.367381,19.685114,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061V,165,23.372322,42.772736,22.843136,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061W,166,-64.423874,12.1803665,1.6300117,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00621,167,-32.27622,14.202017,5.1669645,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00622,168,26.011757,43.953773,20.907724,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00626,169,27.184875,41.584118,27.285982,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062C,170,-58.722565,8.27904,0.11282255,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062H,171,25.084272,42.4055,24.934177,NA,NA,AL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062J,172,0.57488614,-6.294795,11.593067,NA,NA,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
