taxa,order,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005V3,129,41.62292,-97.9353,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V6,130,41.49604,-94.0608076,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VC,131,43.56176,-89.6557,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005VE,132,40.9771,-94.1764724,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VH,133,35.48981,-95.6183,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VJ,134,36.24761,-95.3364,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VK,135,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VL,136,41.02281,-92.878611,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005VM,137,42.14294,-96.3855,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005VQ,138,35.25375,-95.1894,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005VR,139,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005W0,140,41.405,-97.7092,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W1,141,39.1061,-96.5993,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005W2,142,30.39889,-96.0903,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005W4,143,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005W5,144,36.79122,-87.4569,KY,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005WJ,145,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S0060N,146,N_A,N_A,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060R,147,N_A,N_A,check,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0060V,148,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,N_A
S0060X,149,39.1061,-96.5993,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060Y,150,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S00611,151,N_A,N_A,Bad_Astra,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00612,152,42.13075,-98.0382,NE,west,west,s_perfoliatum,west,west,s_perfoliatum,wild_collection
S00613,153,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00616,154,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S00618,155,N_A,N_A,F1,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061C,156,N_A,N_A,F1,N_A,N_A,integrifolium_x_perfoliatum,N_A,N_A,s_integrifolium_x_perfoliatum,breeding
S0061E,157,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061F,158,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061J,159,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061K,160,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061M,161,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061N,162,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061R,163,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061T,164,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061V,165,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0061W,166,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00621,167,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00622,168,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S00626,169,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062C,170,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062H,171,N_A,N_A,AL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062J,172,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062L,173,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062T,174,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0062U,175,N_A,N_A,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S0045M,176,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005QE,177,41.96783,-90.3832042,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QJ,178,43.55811,-89.6843,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005QK,179,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
